Date,Type,Value($mil)
1/09/1986,Building,4345.464
1/09/1986,Engineering,2292.027
1/12/1986,Building,4270.37
1/12/1986,Engineering,2188.311
1/03/1987,Building,4490.371
1/03/1987,Engineering,2300.139
1/06/1987,Building,4662.747
1/06/1987,Engineering,2202.233
1/09/1987,Building,4899.848
1/09/1987,Engineering,2072.684
1/12/1987,Building,5320.331
1/12/1987,Engineering,2217.46
1/03/1988,Building,5600.988
1/03/1988,Engineering,2210.269
1/06/1988,Building,5591.205
1/06/1988,Engineering,2279.269
1/09/1988,Building,6158.441
1/09/1988,Engineering,2241.856
1/12/1988,Building,6573.689
1/12/1988,Engineering,2319.96
1/03/1989,Building,7111.246
1/03/1989,Engineering,2327.344
1/06/1989,Building,7664.969
1/06/1989,Engineering,2389.164
1/09/1989,Building,7807.873
1/09/1989,Engineering,2710.806
1/12/1989,Building,7680.565
1/12/1989,Engineering,2661.311
1/03/1990,Building,7582.157
1/03/1990,Engineering,2763.266
1/06/1990,Building,7219.571
1/06/1990,Engineering,2761.641
1/09/1990,Building,7066.443
1/09/1990,Engineering,2968.039
1/12/1990,Building,6940.242
1/12/1990,Engineering,2936.289
1/03/1991,Building,6652.966
1/03/1991,Engineering,2873.949
1/06/1991,Building,6328.095
1/06/1991,Engineering,2897.7
1/09/1991,Building,5914.794
1/09/1991,Engineering,2767.121
1/12/1991,Building,5706.259
1/12/1991,Engineering,2844.888
1/03/1992,Building,5870.475
1/03/1992,Engineering,2743.556
1/06/1992,Building,5848.466
1/06/1992,Engineering,2716.474
1/09/1992,Building,5940.586
1/09/1992,Engineering,2649.522
1/12/1992,Building,6074.643
1/12/1992,Engineering,2755.155
1/03/1993,Building,6333.892
1/03/1993,Engineering,2883.884
1/06/1993,Building,6047.373
1/06/1993,Engineering,3155.428
1/09/1993,Building,6299.029
1/09/1993,Engineering,3008.131
1/12/1993,Building,6382.425
1/12/1993,Engineering,2979.533
1/03/1994,Building,6438.132
1/03/1994,Engineering,3271.579
1/06/1994,Building,6877.052
1/06/1994,Engineering,3203.786
1/09/1994,Building,7037.954
1/09/1994,Engineering,3146.56
1/12/1994,Building,7144.205
1/12/1994,Engineering,3274.772
1/03/1995,Building,7026.683
1/03/1995,Engineering,3219.106
1/06/1995,Building,7075.395
1/06/1995,Engineering,3327.91
1/09/1995,Building,7046.457
1/09/1995,Engineering,3471.674
1/12/1995,Building,6731.616
1/12/1995,Engineering,3747.204
1/03/1996,Building,6574.113
1/03/1996,Engineering,3639.037
1/06/1996,Building,6635.989
1/06/1996,Engineering,3747.102
1/09/1996,Building,6781.37
1/09/1996,Engineering,3985.225
1/12/1996,Building,6935.225
