Date,Sector,Value
1/09/1986,Private,1604354000
1/09/1986,Public,4927166000
1/12/1986,Private,1477695000
1/12/1986,Public,4655363000
1/03/1987,Private,1706365000
1/03/1987,Public,4691331000
1/06/1987,Private,1614360000
1/06/1987,Public,4310142000
1/09/1987,Private,1656336000
1/09/1987,Public,4008244000
1/12/1987,Private,1838670000
1/12/1987,Public,4116853000
1/03/1988,Private,1835324000
1/03/1988,Public,3993598000
1/06/1988,Private,1867841000
1/06/1988,Public,4034024000
1/09/1988,Private,1764626000
1/09/1988,Public,3966779000
1/12/1988,Private,1817803000
1/12/1988,Public,4001925000
1/03/1989,Private,1928160000
1/03/1989,Public,3831335000
1/06/1989,Private,1889334000
1/06/1989,Public,3922650000
1/09/1989,Private,2071965000
1/09/1989,Public,4444661000
1/12/1989,Private,1942819000
1/12/1989,Public,4353603000
1/03/1990,Private,1827202000
1/03/1990,Public,4619648000
1/06/1990,Private,1794718000
1/06/1990,Public,4547462000
1/09/1990,Private,1864833000
1/09/1990,Public,4852617000
1/12/1990,Private,1816045000
1/12/1990,Public,4740102000
1/03/1991,Private,1809151000
1/03/1991,Public,4565334000
1/06/1991,Private,1885250000
1/06/1991,Public,4520596000
1/09/1991,Private,1852862000
1/09/1991,Public,4200807000
1/12/1991,Private,1814427000
1/12/1991,Public,4374224000
1/03/1992,Private,1771931000
1/03/1992,Public,4193759000
1/06/1992,Private,1738866000
1/06/1992,Public,4167535000
1/09/1992,Private,1588829000
1/09/1992,Public,4165806000
1/12/1992,Private,1651807000
1/12/1992,Public,4331777000
1/03/1993,Private,1695780000
1/03/1993,Public,4551444000
1/06/1993,Private,1807886000
1/06/1993,Public,5018717000
1/09/1993,Private,1868874000
1/09/1993,Public,4635913000
1/12/1993,Private,2005313000
1/12/1993,Public,4452812000
1/03/1994,Private,2327227000
1/03/1994,Public,4747246000
1/06/1994,Private,2206844000
1/06/1994,Public,4709141000
1/09/1994,Private,2020616000
1/09/1994,Public,4764789000
1/12/1994,Private,2312737000
1/12/1994,Public,4698638000
1/03/1995,Private,2142525000
1/03/1995,Public,4678659000
1/06/1995,Private,2147357000
1/06/1995,Public,4852223000
1/09/1995,Private,2529181000
1/09/1995,Public,4705953000
1/12/1995,Private,2753030000
1/12/1995,Public,5048345000
1/03/1996,Private,2737386000
1/03/1996,Public,4815567000
1/06/1996,Private,3101411000
1/06/1996,Public,4655605000
