Industry,Year,Value of work commenced,Value of work done,Value of work yet to be done
 Recreation ,1986,118742,120359,136622
 Recreation ,1987,277078,280495,304725
 Recreation ,1988,307840,334651,264069
 Recreation ,1989,378578,372684,257824
 Recreation ,1990,494732,491790,296774
 Recreation ,1991,404420,388395,346865
 Recreation ,1992,320585,343375,233224
 Recreation ,1993,405438,397192,265119
 Recreation ,1994,450253,404600,272908
 Recreation ,1995,519452,529064,359017
 Recreation ,1996,729879,696498,310374
 Recreation ,1997,823901,779439,447614
 Recreation ,1998,872463,857765,529781
 Recreation ,1999,839335,877792,470835
 Recreation ,2000,1051635,1084133,524037
 Recreation ,2001,1023568,1065935,436561
 Recreation ,2002,1341262,1324171,449210
 Recreation ,2003,1397113,1341106,590665
 Recreation ,2004,1770083,1558699,822882
 Recreation ,2005,1901739,1675313,776349
 Recreation ,2006,2116339,1705334,696104
 Recreation ,2007,2530118,1757558,1772587
 Recreation ,2008,2394362,2108832,1924305
 Recreation ,2009,2413909,2159126,1552017
 Recreation ,2010,2899144,2776947,2009049
 Recreation ,2011,3161621,3061992,1891537
 Recreation ,2012,3513337,3316343,3140557
 Recreation ,2013,4087734,4155103,5306701
 Recreation ,2014,4254236,4085176,4529259
 Recreation ,2015,3826256,3720966,2601101
 Recreation ,2016,4069276,3799185,2377477
 Recreation ,2017,4494808,4320204,2978173
 Recreation ,2018,4867522,4773276,2500667
 Recreation ,2019,4538016,4570568,2606167
 Recreation ,2020,5492568,4842846,3048093
 Recreation ,2021,5556127,5300022,4689721
 Recreation ,2022,1200621,1235104,1222228
 Telecommunications ,1986,1692458,860378,2115271
 Telecommunications ,1987,1729281,1631339,2760229
 Telecommunications ,1988,921971,1742158,619158
 Telecommunications ,1989,1874375,1878098,613961
 Telecommunications ,1990,2264917,2330036,1362499
 Telecommunications ,1991,1975554,1992549,352881
 Telecommunications ,1992,1872394,1847369,237719
 Telecommunications ,1993,1847527,1795085,443554
 Telecommunications ,1994,1945785,1909571,348560
 Telecommunications ,1995,2629520,2661248,550073
 Telecommunications ,1996,2654301,2777955,276515
 Telecommunications ,1997,2514599,2542717,188398
 Telecommunications ,1998,3151477,3039707,364544
 Telecommunications ,1999,3476756,3458144,763360
 Telecommunications ,2000,4441098,4008244,1386062
 Telecommunications ,2001,3453358,3628692,2709190
 Telecommunications ,2002,3013244,3324307,1765617
 Telecommunications ,2003,2970536,3017312,586199
 Telecommunications ,2004,3247044,3259393,566794
 Telecommunications ,2005,3653337,3745823,577919
 Telecommunications ,2006,4952005,4883660,723416
 Telecommunications ,2007,4881628,4889780,694776
 Telecommunications ,2008,4227908,4320109,851590
 Telecommunications ,2009,4311003,3913541,1041730
 Telecommunications ,2010,3709590,3844966,1510723
 Telecommunications ,2011,4789800,4430795,2542760
 Telecommunications ,2012,6081124,5247849,8569262
 Telecommunications ,2013,6344527,6443031,4019749
 Telecommunications ,2014,6903148,7070182,1233700
 Telecommunications ,2015,7912948,8044289,662810
 Telecommunications ,2016,9910733,9851201,846097
 Telecommunications ,2017,11429162,11601109,746065
 Telecommunications ,2018,10409249,10401446,520442
 Telecommunications ,2019,8850843,8860966,1080683
 Telecommunications ,2020,7593793,7502840,797843
 Telecommunications ,2021,6341679,6302765,683401
 Telecommunications ,2022,1597241,1598793,123484
Bridges,1986,69870,123482,239372
Bridges,1987,149421,213790,406324
Bridges,1988,203157,161739,394136
Bridges,1989,229104,193227,407472
Bridges,1990,218617,223519,383036
Bridges,1991,234233,266275,414530
Bridges,1992,246103,197880,514709
Bridges,1993,311420,284921,632060
Bridges,1994,323998,352130,627041
Bridges,1995,222989,243120,391516
Bridges,1996,178555,222543,245439
Bridges,1997,251554,246419,282460
Bridges,1998,386317,278366,657116
Bridges,1999,421188,458551,1009178
