Year,State,Value
1987,Australian Capital Territory,29431.27608
1988,Australian Capital Territory,46335.12163
1989,Australian Capital Territory,50717.1123
1990,Australian Capital Territory,51630.02903
1991,Australian Capital Territory,52031.5221
1992,Australian Capital Territory,60967.98518
1993,Australian Capital Territory,59593.30155
1994,Australian Capital Territory,61717.41924
1995,Australian Capital Territory,46988.07429
1996,Australian Capital Territory,44486.7824
1997,Australian Capital Territory,41863.05866
1998,Australian Capital Territory,52193.81073
1999,Australian Capital Territory,67402.70854
2000,Australian Capital Territory,81582.56869
2001,Australian Capital Territory,62947.28454
2002,Australian Capital Territory,63182.37928
2003,Australian Capital Territory,79160.14875
2004,Australian Capital Territory,79693.77111
2005,Australian Capital Territory,69799.8657
2006,Australian Capital Territory,91740.1986
2007,Australian Capital Territory,91708.5344
2008,Australian Capital Territory,108111.8979
2009,Australian Capital Territory,97633.68718
2010,Australian Capital Territory,162673.7749
2011,Australian Capital Territory,222944.2888
2012,Australian Capital Territory,215933.882
2013,Australian Capital Territory,237710.2871
2014,Australian Capital Territory,206717.7902
2015,Australian Capital Territory,172374.5413
2016,Australian Capital Territory,193605.7565
2017,Australian Capital Territory,237350.8154
2018,Australian Capital Territory,215082.0934
2019,Australian Capital Territory,157179.8753
2020,Australian Capital Territory,136423.0705
2021,Australian Capital Territory,155139.2842
2022,Australian Capital Territory,35608.47524
1987,New South Wales,23271.48791
1988,New South Wales,45648.07182
1989,New South Wales,52713.75655
1990,New South Wales,67638.52403
1991,New South Wales,68678.0402
1992,New South Wales,65199.02968
1993,New South Wales,66728.98625
1994,New South Wales,74681.96433
1995,New South Wales,82534.17532
1996,New South Wales,84832.31942
1997,New South Wales,75806.55235
1998,New South Wales,88348.85084
1999,New South Wales,92824.59866
2000,New South Wales,98098.78076
2001,New South Wales,90663.62628
2002,New South Wales,87438.49385
2003,New South Wales,108547.0702
2004,New South Wales,126760.4187
2005,New South Wales,156185.6355
2006,New South Wales,148093.7679
2007,New South Wales,163410.5079
2008,New South Wales,215177.2458
2009,New South Wales,231710.8585
2010,New South Wales,236154.4533
2011,New South Wales,273675.3618
2012,New South Wales,323472.6839
2013,New South Wales,280842.9959
2014,New South Wales,232469.6156
2015,New South Wales,212898.7475
2016,New South Wales,227652.8464
2017,New South Wales,278148.0173
2018,New South Wales,317337.0525
2019,New South Wales,316620.3148
2020,New South Wales,295402.7523
2021,New South Wales,296669.5581
2022,New South Wales,74219.14696
1987,Northern Territory,48502.00962
1988,Northern Territory,97322.54656
1989,Northern Territory,114974.7411
1990,Northern Territory,107303.2141
1991,Northern Territory,80050.05591
1992,Northern Territory,69519.50241
1993,Northern Territory,110216.3412
1994,Northern Territory,142655.4714
1995,Northern Territory,131297.8925
1996,Northern Territory,116264.2182
1997,Northern Territory,93018.99997
1998,Northern Territory,147444.8513
1999,Northern Territory,161616.1611
2000,Northern Territory,100764.796
2001,Northern Territory,110381.969
2002,Northern Territory,915684.5586
2003,Northern Territory,696653.4295
2004,Northern Territory,760086.432
2005,Northern Territory,956324.1049
2006,Northern Territory,880516.6204
2007,Northern Territory,586923.8932
2008,Northern Territory,934708.4461
2009,Northern Territory,906880.1891
2010,Northern Territory,402818.0588
2011,Northern Territory,568906.7144
2012,Northern Territory,1583812.785
2013,Northern Territory,2601249.041
2014,Northern Territory,2953272.214
2015,Northern Territory,2948849.614
2016,Northern Territory,2317274.544
2017,Northern Territory,2498006.838
2018,Northern Territory,1529403.611
2019,Northern Territory,537490.5513
2020,Northern Territory,521632.4817
2021,Northern Territory,697770.3613
2022,Northern Territory,195975.6068
1987,Queensland,33219.1557
1988,Queensland,68155.09988
1989,Queensland,72988.74638
1990,Queensland,81509.82473
1991,Queensland,78485.47713
1992,Queensland,75758.28994
1993,Queensland,86676.52841
1994,Queensland,92320.90262
1995,Queensland,92522.59006
1996,Queensland,99302.5934
1997,Queensland,108130.325
1998,Queensland,121647.1626
1999,Queensland,148980.5018
2000,Queensland,140050.0895
2001,Queensland,128559.2605
2002,Queensland,139750.8405
2003,Queensland,145945.7445
2004,Queensland,163554.3577
2005,Queensland,204547.3162
2006,Queensland,279982.2209
2007,Queensland,357916.5459
2008,Queensland,466979.7088
2009,Queensland,471885.8813
2010,Queensland,453282.5153
2011,Queensland,692241.1457
2012,Queensland,892518.4945
2013,Queensland,973741.3802
2014,Queensland,830496.3057
2015,Queensland,468025.6253
2016,Queensland,368781.8276
2017,Queensland,425591.9741
2018,Queensland,450962.1037
2019,Queensland,399196.9592
2020,Queensland,386973.7707
2021,Queensland,386983.1253
